id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),,
Par. 41,,,,,,,,,,,,,
SlaT-3136-n2,habeo,v#v-w73_MPf64_MP,habeo-NEW-25,v#02681795,105044,"ACT, PAT, EFF","Allobroges diu in incerto habuere, quidnam consili caperent","keep in a certain state, position, or activity; e.g.,",,,,,
SlaT-3136-n6,capio,v#v-w106_MPf10_MP,decido-02,v#00697589,98060,"ACT, PAT","Allobroges diu in incerto habuere, quidnam consili caperent",,single predicate capere consilium (light verb construction). verbal frame for capio only: capio-06,,,,
SlaT-3136-n8,consilium,v#v-w316_MPf1_MP,,,,,,,,,,,
SlaT-3137-n1,sum,v#v-w2_MPf102_MP,have-place-91,,,,,,,,,,
SlaT-3137-n6,alienus,v#v-w1336_MPf3_MP,,,,,,,NON-EVENT,,,,
SlaT-3137-n7,studium,v#v-w59_MPf8_MP,,,,,,,NON-EVENT,,,,
3138a1,sum,v#v-w2_MPf112_MP,have-place-91,,,,,,,,,,
SlaT-3138-n6,consilium,v#v-w316_MPf1_MP,,,,,,,NON-EVENT,,,,
SlaT-3138-n7,tueor,v#v-w653_MPf3_MP,tueor-06/tueor-07/tueor-14,v#01128193/v#01129337/v#02280132,129187,"ACT, PAT",tutae tranquillaeque res omnes,,NON-EVENT,,tutus safe,,
SlaT-3139-n1,vinco,v#v-w143_MPf4_MP,uinco-04,v#01105639,130232,"ACT, PAT",tandem vicit fortuna rei publicae,,,,,,
SlaT-3139-n2,volvo,v#v-w798_MPf3_MP,uoluo-02,v#00630380,130766,"ACT, PAT",haec illis volventibus,,,,,,
SlaT-3140-n1,aperio,v#v-w699_MPf7_MP,aperio-03,v#00933821,89397,"ACT, PAT","Q. Fabio Sangae [...] rem omnem, uti cognoverant, aperiunt",,,,,,
SlaT-3140-n7,utor,v#v-w28_MPf6_MP,utor-08,v#02290461,130923,"ACT, PAT","Q. Fabio Sangae, cuius patrocinio civitas plurumum utebatur, rem omnem [....] aperiunt",,,PAT in ablative,,,
SlaT-3140-n14,cognosco,v#v-w118_MPf25_MP,cognosco-03,v#00594621,94738,"ACT, PAT","Q. Fabio Sangae [...] rem omnem, uti cognoverant, aperiunt",,,,,,
SlaT-3141-n1,praecipio,v#v-w171_MPf4_MP,praecipio-03,v#00747135,118735,"ACT, EFF, PAT",Cicero per Sangam consilio cognito legatis praecipit,,,,,,
SlaT-3141-n3,cognosco,v#v-w118_MPf24_MP,cognosco-03,v#00594621,94738,"ACT, PAT",Cicero per Sangam consilio cognito legatis praecipit,,,,,,
SlaT-3141-n5,consilium,v#v-w316_MPf1_MP,,,,,,,NON-EVENT,,,,
SlaT-3141-n8,simulo,v#v-w850_MPf2_MP,simulo-NEW-01,v#00838043,124866,"ACT, PAT","legatis praecipit, ut studium coniurationis vehementer simulent",make believe with the intent to deceive,,,,,
SlaT-3141-n9,studium,v#v-w59_MPf8_MP,,,,,,,NON-EVENT,,,,
SlaT-3141-n10,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,de superiore coniuratione satis dictum,,NON-EVENT,,,,
SlaT-3141-n12,adeo,v#v-w933_MPf3_MP,adeo2-03,v#01844048,87421,"ACT, PAT",ceteros adeant,,,,,,
SlaT-3141-n14,polliceor,v#v-w822_MPf6_MP,polliceor-01/polliceor-02,v#00884317/v#00889555,118296,"ACT, ADDR, PAT",bene polliceantur,,merge,,,,
SlaT-3141-n16,do,v#v-w72_MPf26_MP,nitor-06,v#02531199,113708,"ACT, PAT","dentque operam, uti eos quam maxume manufestos habeant",,,,"if to create a new entry: do-operam-NEW-02, with same synset (attempt by employing effort)",,
SlaT-3141-n18,habeo,v#v-w73_MPf65_MP,habeo-NEW-25,v#02681795,105044,"ACT, PAT, EFF","dentque operam, uti eos quam maxume manufestos habeant","keep in a certain state, position, or activity; e.g.,",,,,,
Par. 42,,,,,,,,,,,,,
SlaT-3142-n1,sum,v#v-w2_MPf128_MP,have-place-91,,,,,,,,,,
SlaT-3142-n17,motus,v#v-w274_MPf4_MP,moueo-05,v#00520019,112848,"ACT, PAT",in agro Piceno Bruttio Apulia motus erat.,,EVENT,,,,
SlaT-3143-n2,ago,v#v-w250_MPf17_MP,08-17,v#02367363,88140,"ACT, PAT",inconsulte ac veluti per dementiam cuncta simul agebant,,,,,,
SlaT-3143-n5,dimitto,v#v-w649_MPf8_MP,dimitto-07,v#01955127,99509,"ACT, PAT","illi, quos ante Catilina dimiserat",,,,,,
SlaT-3144-n1,efficio,v#v-w476_MPf7_MP,efficio-11/efficio-18,v#01645601/v#01752884,100627,"ACT, PAT",plus timoris quam periculi effecerant,,,,,,
SlaT-3144-n3,consilium,v#v-w316_MPf1_MP,conuoco-03/conuoco-04/conuoco-05,v#00793037/v#01380638/v#02598143,96487,"ACT, PAT",nocturnis consiliis,,EVENT,,riunione,,
SlaT-3144-n5,portatio,v#v-w1337_MPf1_MP,porto-04,v#01449974,118540,"ACT, DIR3, PAT",armorum atque telorum portationibus,,EVENT,,,,
SlaT-3144-n10,festino,v#v-w860_MPf4_MP,festino-02,v#00459498,103186,ACT,festinando agitando omnia,,,,,,
SlaT-3144-n11,agito,v#v-w631_MPf5_MP,agito-09,v#01889610,88103,"ACT, PAT",festinando agitando omnia,,,,does not match with same frame elsewhere,,
SlaT-3144-n14,timor,v#v-w1104_MPf4_MP,timeo-01,v#01780202,128264,"ACT, PAT",plus timoris quam periculi effecerant,,EVENT,,,,
3144a4,efficio,v#v-w476_MPf7_MP,efficio-11/efficio-18,v#01645601/v#01752884,100627,"ACT, PAT",plus timoris quam periculi effecerant,,,,,,
SlaT-3145-n2,conjicio,v#v-w867_MPf4_MP,conicio-15,v#01494310,95917,,conpluris Q. Metellus Celer [...] in vincula coniecerat,,,,"se TWHEN è giusto, sostituirlo. l'alternativa è conicio-20, ma sembra meno adatto (più letterale)",,Eleonora
SlaT-3145-n13,cognosco,v#v-w118_MPf24_MP,cognosco-10,v#02154508,94738,"ACT, PAT",causa cognita,,,,,,
SlaT-3145-n14,causa,v#v-w258_MPf3_MP,,,,,,,NON-EVENT,,,,
3145a3,conjicio,v#v-w867_MPf4_MP,conicio-15,v#01494310,95917,,conpluris Q. Metellus Celer [...] in vincula coniecerat,,,,"se TWHEN è giusto, sostituirlo.",,Eleonora
SlaT-3145-n22,praesum,v#v-w815_MPf3_MP,praesum-06,v#02586619,119265,"ACT, PAT","C. Murena, qui ei provinciae legatus praeerat",,,,,,
Par. 43,,,,,,,,,,,,,
SlaT-3146-n2,constituo,v#v-w605_MPf10_MP,constituo-07,v#00697589,96146,"ACT, PAT",constituerat uti [...] quereretur de actionibus Ciceronis,,,,,,
SlaT-3146-n6,sum,v#v-w2_MPf100_MP,have-role-91,,,,,,,,,,
SlaT-3146-n9,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,cetera multitudo coniurationis,,,,,,
SlaT-3146-n10,paro,v#v-w572_MPf10_MP,paro-01,v#00406243,116061,"ACT, PAT","paratis, uti videbatur, magnis copiis",,,,,,
SlaT-3146-n11,video,v#v-w16_MPf21_MP,uideo-11,v#02134672,130163,"ACT, EFF, PAT","paratis, uti videbatur, magnis copiis",,,passive,,,
SlaT-3146-n15,venio,v#v-w34_MPf13_MP,uenio-07,v#02005948,129790,"ACT, DIR1, DIR3",cum Catilina in agrum Faesulanum cum exercitu venisset,,,,,,
SlaT-3146-n25,habeo,v#v-w73_MPf19_MP,habeo-NEW-29,v#01733477,105044,"ACT, PAT",concione habita,organise or be responsible for,,,,,
SlaT-3146-n27,queror,v#v-w616_MPf5_MP,queror-05,v#00911350,121157,"ACT, PAT",quereretur de actionibus Ciceronis,,,,,,
SlaT-3146-n28,actio,v#v-w960_MPf2_MP,08-17,v#02367363,88140,"ACT, PAT",de actionibus Ciceronis,,,,,,
SlaT-3146-n30,impono,v#v-w369_MPf8_MP,impono-04,v#00748282,106633,"ACT, ADDR, PAT",bellique gravissimi invidiam optimo consuli imponeret,,,,,,
3147a2,constituo,v#v-w605_MPf10_MP,constituo-07,v#00697589,96146,"ACT, PAT",constituerat uti [...] quereretur de actionibus Ciceronis,,,,,,
SlaT-3147-n1,exsequor,v#v-w848_MPf2_MP,exsequor-06,v#01712704,102311,"ACT, PAT",suum quisque negotium exsequeretur,,,,,,
SlaT-3147-n5,proximus,v#v-w1036_MPf4_MP,,,,,,,NON-EVENT,,,,
SlaT-3147-n8,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,cetera multitudo coniurationis,,,,,,
SlaT-3148-n2,dico,v#v-w9_MPf74_MP,dico2-21,v#01016002,99302,"ACT, PAT",ea divisa hoc modo dicebantur,,,,,,
SlaT-3148-n4,divido,v#v-w510_MPf2_MP,diuido-16,v#02031158,99932,"ACT, PAT",ea divisa hoc modo dicebantur,,,,,,
3149a1,dico,v#v-w9_MPf86_MP,dico2-21,v#01016002,99302,"ACT, PAT",ea divisa hoc modo dicebantur,,,,,,
SlaT-3149-n1,incendo,v#v-w762_MPf6_MP,incendo-06,v#02761372,106911,"ACT, PAT",Statilius et Gabinius uti cum magna manu duodecim simul opportuna loca urbis incenderent,,,,,,
SlaT-3149-n12,fio,v#v-w565_MPf15_MP,fio-01,v#00149583,103328,"ACT, PAT","facilior aditus ad consulem ceterosque, quibus insidiae parabantur, fieret",,,,"I thought EFF was necessary (in V1 there's ACT, PAT, EFF as obl), but compare with Czech Vallex, both PDT and non-PDT: stá(va)t se has ACT, PAT; example: stal se z chlapce mužem; s. se majitelem krásné ženy",,
SlaT-3149-n15,aditus,v#v-w1058_MPf4_MP,adeo2-04,v#02053941,87421,"ACT, DIR3","facilior aditus ad consulem ceterosque, quibus insidiae parabantur, fieret",,,,,,
SlaT-3149-n19,paro,v#v-w572_MPf17_MP,paro-07,v#01638368,116061,"ACT, PAT","facilior aditus ad consulem ceterosque, quibus insidiae parabantur, fieret",,,,,,
3150a1,dico,v#v-w9_MPf86_MP,dico2-21,v#01016002,99302,"ACT, PAT",ea divisa hoc modo dicebantur,,,,,,
SlaT-3150-n3,obsido,v#v-w1270_MPf2_MP,obsido-03,v#01126700,114432,"ACT, PAT",Cethegus Ciceronis ianvam obsideret,,,,,,
SlaT-3150-n6,aggredior,v#v-w779_MPf4_MP,aggredior-05,v#01120069,88082,"ACT, PAT",eumque vi adgrederetur,,,,,,
3151a1,dico,v#v-w9_MPf86_MP,dico2-21,v#01016002,99302,"ACT, PAT",ea divisa hoc modo dicebantur,,,,,,
3151a2,interficio,v#v-w604_MPf5_MP,interficio-01,v#01323958,108471,"ACT, PAT","filii familiarum, quorum nobilitate pars maxuma erat, parentes interficerent",,,,,,
SlaT-3151-n5,interficio,v#v-w604_MPf3_MP,interficio-01,v#01323958,108471,"ACT, PAT","filii familiarum, quorum nobilitate pars maxuma erat, parentes interficerent",,,,,,
SlaT-3151-n8,sum,v#v-w2_MPf133_MP,abstract,,,,,,,,"nobilitas can be a social-group, but which predicate? Again, something like be-member-91",,
3152a1,dico,v#v-w9_MPf86_MP,dico2-21,v#01016002,99302,"ACT, PAT",ea divisa hoc modo dicebantur,,,,,,
SlaT-3152-n1,erumpo,v#v-w911_MPf3_MP,erumpo-NEW-16,v#02015031,101488,"ACT, DIR3",ad Catilinam erumperent,"set out in a sudden, energetic or violent manner",,,,,
SlaT-3152-n3,percello,v#v-w1152_MPf3_MP,percello-05,v#01770501,116645,"ACT, PAT",caede et incendio perculsis omnibus,,,,,,
SlaT-3153-n1,queror,v#v-w616_MPf5_MP,queror-05,v#00911350,121157,"ACT, PAT",Cethegus semper querebatur de ignavia sociorum,,,,does not match with same frame elsewhere,,
SlaT-3153-n4,paro,v#v-w572_MPf4_MP,paro-07,v#01638368,116061,"ACT, PAT",inter haec parata atque decreta,,,,,,
SlaT-3153-n5,decerno,v#v-w635_MPf10_MP,decerno-02,v#00697589,98047,"ACT, PAT",inter haec parata atque decreta,,,,,,
3154a1,queror,v#v-w616_MPf6_MP,queror-05,v#00911350,121157,"ACT, PAT",Cethegus semper querebatur de ignavia sociorum,,,,,,
SlaT-3154-n1,corrumpo,v#v-w514_MPf6_MP,corrumpo-13,v#02527651,96706,"ACT, PAT",magnas opportunitates corrumpere,,,,,,
