lemma	uri	id_synset	UMR_id
cruente	http://lila-erc.eu/data/id/hypolemma/10065	r#00201195	cruente-01
cruente	http://lila-erc.eu/data/id/hypolemma/10065	r#00232499	cruente-02
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#00770114	aduersus-01
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#00995468	aduersus-02
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#00997036	aduersus-03
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#01129644	aduersus-04
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#01160031	aduersus-05
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#01244410	aduersus-06
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#01246388	aduersus-07
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#01662756	aduersus-08
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#02070887	aduersus-09
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#02484530	aduersus-10
aduersus	http://lila-erc.eu/data/id/hypolemma/1008	a#02494401	aduersus-11
cumulatus	http://lila-erc.eu/data/id/hypolemma/10181	a#00005107	cumulatus-01
cumulatus	http://lila-erc.eu/data/id/hypolemma/10181	a#00013887	cumulatus-02
cumulatus	http://lila-erc.eu/data/id/hypolemma/10181	a#00522885	cumulatus-03
cumulatus	http://lila-erc.eu/data/id/hypolemma/10181	a#00880207	cumulatus-04
cumulatus	http://lila-erc.eu/data/id/hypolemma/10181	a#00880586	cumulatus-05
cumulatus	http://lila-erc.eu/data/id/hypolemma/10181	a#01083157	cumulatus-06
cumulatus	http://lila-erc.eu/data/id/hypolemma/10181	a#01749320	cumulatus-07
adulans	http://lila-erc.eu/data/id/hypolemma/1032	a#00907830	adulans-01
consummatus	http://lila-erc.eu/data/id/hypolemma/10382	a#01749320	consummatus-01
consummatus	http://lila-erc.eu/data/id/hypolemma/10382	a#01750386	consummatus-02
adumbratus	http://lila-erc.eu/data/id/hypolemma/1050	a#00625774	adumbratus-01
adumbratus	http://lila-erc.eu/data/id/hypolemma/1050	a#01116380	adumbratus-02
dapsiliter	http://lila-erc.eu/data/id/hypolemma/10528	r#00214554	dapsiliter-01
dapsiliter	http://lila-erc.eu/data/id/hypolemma/10528	r#00279867	dapsiliter-02
dapsiliter	http://lila-erc.eu/data/id/hypolemma/10528	r#00414884	dapsiliter-03
decens	http://lila-erc.eu/data/id/hypolemma/10693	a#01878870	decens-01
adustus	http://lila-erc.eu/data/id/hypolemma/1072	a#00409440	adustus-01
adustus	http://lila-erc.eu/data/id/hypolemma/1072	a#00735336	adustus-02
adustus	http://lila-erc.eu/data/id/hypolemma/1072	a#02551946	adustus-03
dedicatiue	http://lila-erc.eu/data/id/hypolemma/10862	r#00512790	dedicatiue-01
dedicatus	http://lila-erc.eu/data/id/hypolemma/10865	a#01783710	dedicatus-01
dedicatus	http://lila-erc.eu/data/id/hypolemma/10865	a#02179968	dedicatus-02
defessus	http://lila-erc.eu/data/id/hypolemma/10958	a#00926141	defessus-01
defessus	http://lila-erc.eu/data/id/hypolemma/10958	a#02431728	defessus-02
definitus	http://lila-erc.eu/data/id/hypolemma/10973	a#00429016	definitus-01
definitus	http://lila-erc.eu/data/id/hypolemma/10973	a#00700451	definitus-02
definitus	http://lila-erc.eu/data/id/hypolemma/10973	a#00701299	definitus-03
definitus	http://lila-erc.eu/data/id/hypolemma/10973	a#01618376	definitus-04
definitus	http://lila-erc.eu/data/id/hypolemma/10973	a#01837744	definitus-05
aegre	http://lila-erc.eu/data/id/hypolemma/1101	r#00003093	aegre-01
aegre	http://lila-erc.eu/data/id/hypolemma/1101	r#00091259	aegre-02
aegre	http://lila-erc.eu/data/id/hypolemma/1101	r#00155187	aegre-03
aegre	http://lila-erc.eu/data/id/hypolemma/1101	r#00305431	aegre-04
praeteritus	http://lila-erc.eu/data/id/hypolemma/110564	a#00095873	praeteritus-01
praeteritus	http://lila-erc.eu/data/id/hypolemma/110564	a#01727926	praeteritus-02
praeteritus	http://lila-erc.eu/data/id/hypolemma/110564	a#01728919	praeteritus-03
ceterum	http://lila-erc.eu/data/id/hypolemma/110680	r#00029367	ceterum-01
ceterum	http://lila-erc.eu/data/id/hypolemma/110680	r#00046002	ceterum-02
ceterum	http://lila-erc.eu/data/id/hypolemma/110680	r#00113082	ceterum-03
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#00001740	potens-01
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#00306314	potens-02
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#00306663	potens-03
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#00671091	potens-04
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#00834198	potens-05
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#00838856	potens-06
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#01020393	potens-07
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#01824244	potens-08
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#01825671	potens-09
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#01826575	potens-10
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#01830134	potens-11
potens	http://lila-erc.eu/data/id/hypolemma/110681	a#01830599	potens-12
peritus	http://lila-erc.eu/data/id/hypolemma/110860	a#00935500	peritus-01
peritus	http://lila-erc.eu/data/id/hypolemma/110860	a#00936427	peritus-02
peritus	http://lila-erc.eu/data/id/hypolemma/110860	a#02225510	peritus-03
peritus	http://lila-erc.eu/data/id/hypolemma/110860	a#02226162	peritus-04
peritus	http://lila-erc.eu/data/id/hypolemma/110860	a#02345194	peritus-05
facile	http://lila-erc.eu/data/id/hypolemma/111576	r#00012531	facile-01
facile	http://lila-erc.eu/data/id/hypolemma/111576	r#00054435	facile-02
facile	http://lila-erc.eu/data/id/hypolemma/111576	r#00147876	facile-03
deliberatus	http://lila-erc.eu/data/id/hypolemma/11213	a#00335421	deliberatus-01
deliberatus	http://lila-erc.eu/data/id/hypolemma/11213	a#01610339	deliberatus-02
deterius	http://lila-erc.eu/data/id/hypolemma/113016	r#00017077	deterius-01
dementer	http://lila-erc.eu/data/id/hypolemma/11318	r#00080890	dementer-01
deminutus	http://lila-erc.eu/data/id/hypolemma/11345	a#00882580	deminutus-01
deminutus	http://lila-erc.eu/data/id/hypolemma/11345	a#01391351	deminutus-02
deminutus	http://lila-erc.eu/data/id/hypolemma/11345	a#01392249	deminutus-03
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#00698262	demissus-01
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#00703109	demissus-02
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#01208352	demissus-03
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#01539444	demissus-04
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#01592857	demissus-05
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#02024411	demissus-06
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#02264521	demissus-07
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#02336904	demissus-08
demissus	http://lila-erc.eu/data/id/hypolemma/11353	a#02340458	demissus-09
aequabiliter	http://lila-erc.eu/data/id/hypolemma/1140	r#00250153	aequabiliter-01
aequabiliter	http://lila-erc.eu/data/id/hypolemma/1140	r#00332069	aequabiliter-02
aequaliter	http://lila-erc.eu/data/id/hypolemma/1146	r#00250153	aequaliter-01
aequaliter	http://lila-erc.eu/data/id/hypolemma/1146	r#00331194	aequaliter-02
aequaliter	http://lila-erc.eu/data/id/hypolemma/1146	r#00332069	aequaliter-03
dense	http://lila-erc.eu/data/id/hypolemma/11469	r#00035058	dense-01
dense	http://lila-erc.eu/data/id/hypolemma/11469	r#00299753	dense-02
dense	http://lila-erc.eu/data/id/hypolemma/11469	r#00476962	dense-03
dense	http://lila-erc.eu/data/id/hypolemma/11469	r#00477359	dense-04
dense	http://lila-erc.eu/data/id/hypolemma/11469	r#00478040	dense-05
deploratus	http://lila-erc.eu/data/id/hypolemma/11620	a#00478872	deploratus-01
deploratus	http://lila-erc.eu/data/id/hypolemma/11620	a#00994567	deploratus-02
deploratus	http://lila-erc.eu/data/id/hypolemma/11620	a#01050890	deploratus-03
deploratus	http://lila-erc.eu/data/id/hypolemma/11620	a#01150205	deploratus-04
deploratus	http://lila-erc.eu/data/id/hypolemma/11620	a#02347086	deploratus-05
desertus	http://lila-erc.eu/data/id/hypolemma/11845	a#01312739	desertus-01
desertus	http://lila-erc.eu/data/id/hypolemma/11845	a#01313004	desertus-02
desertus	http://lila-erc.eu/data/id/hypolemma/11845	a#01313649	desertus-03
desitus	http://lila-erc.eu/data/id/hypolemma/11848	a#01831473	desitus-01
desipiens	http://lila-erc.eu/data/id/hypolemma/11888	a#00439588	desipiens-01
desipiens	http://lila-erc.eu/data/id/hypolemma/11888	a#00439905	desipiens-02
desipiens	http://lila-erc.eu/data/id/hypolemma/11888	a#02570282	desipiens-03
desperatus	http://lila-erc.eu/data/id/hypolemma/11915	a#01229020	desperatus-01
desperatus	http://lila-erc.eu/data/id/hypolemma/11915	a#01229826	desperatus-02
despectus	http://lila-erc.eu/data/id/hypolemma/11921	a#00904548	despectus-01
despectus	http://lila-erc.eu/data/id/hypolemma/11921	a#01133017	despectus-02
destinatus	http://lila-erc.eu/data/id/hypolemma/11953	a#01564603	destinatus-01
destinatus	http://lila-erc.eu/data/id/hypolemma/11953	a#01682822	destinatus-02
destinatus	http://lila-erc.eu/data/id/hypolemma/11953	a#02326695	destinatus-03
destrictus	http://lila-erc.eu/data/id/hypolemma/11963	a#01301316	destrictus-01
destrictus	http://lila-erc.eu/data/id/hypolemma/11963	a#02436995	destrictus-02
detritus	http://lila-erc.eu/data/id/hypolemma/12027	a#02433000	detritus-01
detritus	http://lila-erc.eu/data/id/hypolemma/12027	a#02433451	detritus-02
detritus	http://lila-erc.eu/data/id/hypolemma/12027	a#02580449	detritus-03
dialectice	http://lila-erc.eu/data/id/hypolemma/12204	r#00248104	dialectice-01
dicacule	http://lila-erc.eu/data/id/hypolemma/12255	r#00281950	dicacule-01
dicaciter	http://lila-erc.eu/data/id/hypolemma/12258	r#00301168	dicaciter-01
dicaciter	http://lila-erc.eu/data/id/hypolemma/12258	r#00347860	dicaciter-02
dicatus	http://lila-erc.eu/data/id/hypolemma/12273	a#00519668	dicatus-01
aece	http://lila-erc.eu/data/id/hypolemma/1229	r#00022131	aece-01
aece	http://lila-erc.eu/data/id/hypolemma/1229	r#00332069	aece-02
differens	http://lila-erc.eu/data/id/hypolemma/12315	a#00490413	differens-01
differens	http://lila-erc.eu/data/id/hypolemma/12315	a#02341266	differens-02
digne	http://lila-erc.eu/data/id/hypolemma/12403	r#00139508	digne-01
digne	http://lila-erc.eu/data/id/hypolemma/12403	r#00278259	digne-02
digne	http://lila-erc.eu/data/id/hypolemma/12403	r#00497129	digne-03
diligens	http://lila-erc.eu/data/id/hypolemma/12447	a#00309021	diligens-01
diligens	http://lila-erc.eu/data/id/hypolemma/12447	a#00754107	diligens-02
derectus	http://lila-erc.eu/data/id/hypolemma/12568	a#00764484	derectus-01
derectus	http://lila-erc.eu/data/id/hypolemma/12568	a#01235859	derectus-02
derectus	http://lila-erc.eu/data/id/hypolemma/12568	a#01239862	derectus-03
derectus	http://lila-erc.eu/data/id/hypolemma/12568	a#02314584	derectus-04
derectus	http://lila-erc.eu/data/id/hypolemma/12568	a#02423981	derectus-05
dissolutus	http://lila-erc.eu/data/id/hypolemma/12903	a#00311663	dissolutus-01
dissolutus	http://lila-erc.eu/data/id/hypolemma/12903	a#00465221	dissolutus-02
dissolutus	http://lila-erc.eu/data/id/hypolemma/12903	a#00754873	dissolutus-03
dissolutus	http://lila-erc.eu/data/id/hypolemma/12903	a#01446749	dissolutus-04
dissolutus	http://lila-erc.eu/data/id/hypolemma/12903	a#01549568	dissolutus-05
distensus	http://lila-erc.eu/data/id/hypolemma/12937	a#01083157	distensus-01
distensus	http://lila-erc.eu/data/id/hypolemma/12937	a#01084297	distensus-02
distinctus	http://lila-erc.eu/data/id/hypolemma/12957	a#00056002	distinctus-01
distinctus	http://lila-erc.eu/data/id/hypolemma/12957	a#00701299	distinctus-02
distinctus	http://lila-erc.eu/data/id/hypolemma/12957	a#00779374	distinctus-03
distinctus	http://lila-erc.eu/data/id/hypolemma/12957	a#02109678	distinctus-04
distinctus	http://lila-erc.eu/data/id/hypolemma/12957	a#02110778	distinctus-05
distentus	http://lila-erc.eu/data/id/hypolemma/12960	a#00292937	distentus-01
districtus	http://lila-erc.eu/data/id/hypolemma/12979	a#00292937	districtus-01
districtus	http://lila-erc.eu/data/id/hypolemma/12979	a#00686573	districtus-02
districtus	http://lila-erc.eu/data/id/hypolemma/12979	a#00711308	districtus-03
districtus	http://lila-erc.eu/data/id/hypolemma/12979	a#02436995	districtus-04
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#00442917	dibersus-01
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#00445548	dibersus-02
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#00612652	dibersus-03
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#01246388	dibersus-04
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#01293542	dibersus-05
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#01410363	dibersus-06
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#01411291	dibersus-07
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#01720091	dibersus-08
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#02070887	dibersus-09
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#02071139	dibersus-10
dibersus	http://lila-erc.eu/data/id/hypolemma/13031	a#02109678	dibersus-11
dulce	http://lila-erc.eu/data/id/hypolemma/13308	r#00219110	dulce-01
dulce	http://lila-erc.eu/data/id/hypolemma/13308	r#00299448	dulce-02
dulce	http://lila-erc.eu/data/id/hypolemma/13308	r#00472323	dulce-03
adfabre	http://lila-erc.eu/data/id/hypolemma/1336	r#00245953	adfabre-01
adfabre	http://lila-erc.eu/data/id/hypolemma/1336	r#00248375	adfabre-02
adfabre	http://lila-erc.eu/data/id/hypolemma/1336	r#00374804	adfabre-03
dupliciter	http://lila-erc.eu/data/id/hypolemma/13383	r#00083947	dupliciter-01
dupliciter	http://lila-erc.eu/data/id/hypolemma/13383	r#00220323	dupliciter-02
editus	http://lila-erc.eu/data/id/hypolemma/13596	a#01204557	editus-01
editus	http://lila-erc.eu/data/id/hypolemma/13596	a#01208044	editus-02
adfectiose	http://lila-erc.eu/data/id/hypolemma/1366	r#00077747	adfectiose-01
ecfrenatus	http://lila-erc.eu/data/id/hypolemma/13729	a#02000680	ecfrenatus-01
ecfrenatus	http://lila-erc.eu/data/id/hypolemma/13729	a#02001596	ecfrenatus-02
ecfusus	http://lila-erc.eu/data/id/hypolemma/13758	a#01387319	ecfusus-01
ecfusus	http://lila-erc.eu/data/id/hypolemma/13758	a#01666275	ecfusus-02
ecfusus	http://lila-erc.eu/data/id/hypolemma/13758	a#02390569	ecfusus-03
ecfusus	http://lila-erc.eu/data/id/hypolemma/13758	a#02422242	ecfusus-04
ecfusus	http://lila-erc.eu/data/id/hypolemma/13758	a#02425220	ecfusus-05
ecfusus	http://lila-erc.eu/data/id/hypolemma/13758	a#02560548	ecfusus-06
egregie	http://lila-erc.eu/data/id/hypolemma/13804	r#00182316	egregie-01
egregie	http://lila-erc.eu/data/id/hypolemma/13804	r#00428875	egregie-02
egregie	http://lila-erc.eu/data/id/hypolemma/13804	r#00455233	egregie-03
egregie	http://lila-erc.eu/data/id/hypolemma/13804	r#00471945	egregie-04
eloquens	http://lila-erc.eu/data/id/hypolemma/13960	a#00150505	eloquens-01
eminens	http://lila-erc.eu/data/id/hypolemma/14114	a#00579622	eminens-01
eminens	http://lila-erc.eu/data/id/hypolemma/14114	a#01205473	eminens-02
eminens	http://lila-erc.eu/data/id/hypolemma/14114	a#02339120	eminens-03
adfluens	http://lila-erc.eu/data/id/hypolemma/1413	a#00013887	adfluens-01
eneruiter	http://lila-erc.eu/data/id/hypolemma/14263	r#00177483	eneruiter-01
enucleatus	http://lila-erc.eu/data/id/hypolemma/14335	a#00060605	enucleatus-01
enucleatus	http://lila-erc.eu/data/id/hypolemma/14335	a#00428404	enucleatus-02
enucleatus	http://lila-erc.eu/data/id/hypolemma/14335	a#00431447	enucleatus-03
enucleatus	http://lila-erc.eu/data/id/hypolemma/14335	a#00460735	enucleatus-04
enucleatus	http://lila-erc.eu/data/id/hypolemma/14335	a#01618376	enucleatus-05
enucleatus	http://lila-erc.eu/data/id/hypolemma/14335	a#01791911	enucleatus-06
enucleatus	http://lila-erc.eu/data/id/hypolemma/14335	a#01905653	enucleatus-07
